iter	Passed	Remaining
456	6421	7630
457	6435	7616
458	6452	7605
459	6467	7592
460	6483	7580
461	6492	7560
462	6502	7541
463	6512	7523
464	6522	7504
465	6533	7486
466	6544	7469
467	6554	7450
468	6567	7435
469	6578	7418
470	6588	7400
471	6599	7382
472	6610	7365
473	6619	7346
474	6630	7328
475	6640	7310
476	6650	7291
477	6661	7274
478	6670	7255
479	6683	7240
480	6694	7223
481	6703	7204
482	6714	7186
483	6725	7169
484	6734	7151
485	6749	7138
486	6765	7126
487	6783	7116
488	6797	7103
489	6811	7089
490	6826	7076
491	6842	7065
492	6857	7052
493	6873	7040
494	6887	7026
495	6901	7012
496	6912	6995
497	6925	6980
498	6936	6963
499	6945	6945
500	6957	6929
501	6966	6911
502	6977	6894
503	6991	6880
504	7002	6864
505	7012	6845
506	7022	6829
507	7032	6810
508	7042	6793
509	7053	6777
510	7062	6758
511	7074	6742
512	7085	6726
513	7098	6711
514	7108	6694
515	7120	6679
516	7131	6662
517	7141	6645
518	7152	6629
519	7162	6611
520	7173	6595
521	7184	6579
522	7194	6561
523	7207	6547
524	7218	6531
525	7234	6519
526	7248	6505
527	7262	6492
528	7276	6478
529	7291	6465
530	7308	6455
531	7323	6442
532	7338	6429
533	7354	6417
534	7368	6404
535	7383	6391
536	7394	6375
537	7406	6359
538	7417	6343
539	7427	6326
540	7437	6309
541	7448	6294
542	7459	6277
543	7469	6261
544	7480	6245
545	7490	6228
546	7500	6211
547	7510	6194
548	7522	6179
549	7532	6163
550	7543	6147
551	7553	6130
552	7564	6114
553	7573	6097
554	7585	6082
555	7595	6065
556	7605	6048
557	7617	6034
558	7629	6018
559	7637	6001
560	7648	5985
561	7660	5969
562	7669	5953
563	7681	5937
564	7692	5922
565	7701	5905
566	7712	5889
567	7721	5872
568	7738	5861
569	7752	5848
570	7766	5834
571	7781	5822
572	7795	5809
573	7811	5797
574	7827	5785
575	7843	5773
576	7858	5761
577	7874	5749
578	7885	5733
579	7895	5717
580	7906	5701
581	7916	5685
582	7927	5670
583	7937	5654
584	7949	5639
585	7960	5624
586	7973	5609
587	7982	5593
588	7993	5577
589	8004	5562
590	8013	5545
591	8024	5530
592	8036	5515
593	8047	5500
594	8059	5485
595	8070	5470
596	8080	5454
597	8090	5438
598	8102	5424
599	8113	5409
600	8125	5394
601	8136	5379
602	8145	5363
603	8158	5349
604	8170	5334
605	8179	5317
606	8192	5304
607	8203	5289
608	8213	5273
609	8223	5257
610	8235	5242
611	8244	5227
612	8258	5213
613	8269	5198
614	8279	5182
615	8290	5168
616	8304	5154
617	8319	5142
618	8333	5129
619	8349	5117
620	8361	5103
621	8378	5092
622	8393	5079
623	8407	5065
624	8422	5053
625	8437	5040
626	8452	5028
627	8463	5013
628	8475	4998
629	8485	4983
630	8496	4968
631	8506	4952
632	8517	4938
633	8529	4923
634	8538	4908
635	8550	4893
636	8560	4878
637	8571	4863
638	8582	4848
639	8593	4833
640	8602	4818
641	8614	4803
642	8623	4788
643	8633	4772
644	8646	4758
645	8655	4743
646	8666	4728
647	8678	4714
648	8688	4699
649	8699	4684
650	8711	4669
651	8719	4654
652	8731	4640
653	8743	4625
654	8752	4610
655	8763	4595
656	8774	4581
657	8793	4570
658	8805	4556
659	8816	4541
660	8829	4528
661	8841	4514
662	8853	4499
663	8864	4485
664	8876	4471
665	8889	4457
666	8902	4444
667	8913	4430
668	8925	4416
669	8938	4402
670	8955	4391
671	8970	4378
672	8984	4365
673	9002	4354
674	9015	4340
675	9030	4328
676	9046	4316
677	9062	4304
678	9079	4292
679	9097	4281
680	9112	4268
681	9124	4254
682	9137	4240
683	9146	4225
684	9157	4211
685	9169	4197
686	9178	4181
687	9189	4167
688	9201	4153
689	9212	4138
690	9223	4124
691	9235	4110
692	9244	4095
693	9255	4080
694	9265	4066
695	9275	4051
696	9285	4036
697	9297	4022
698	9314	4010
699	9323	3995
700	9334	3981
701	9343	3966
702	9354	3952
703	9364	3937
704	9374	3922
705	9384	3908
706	9397	3894
707	9407	3879
708	9421	3866
709	9433	3853
710	9444	3838
711	9454	3824
712	9464	3809
713	9473	3794
714	9484	3780
715	9496	3766
716	9505	3751
717	9516	3737
718	9528	3723
719	9538	3709
720	9549	3695
721	9560	3681
722	9569	3666
723	9580	3652
724	9593	3638
725	9607	3626
726	9622	3613
727	9639	3601
728	9653	3588
729	9667	3575
730	9681	3562
731	9696	3549
732	9711	3537
733	9726	3524
734	9740	3511
735	9755	3499
736	9765	3484
737	9776	3470
738	9785	3456
739	9795	3441
740	9807	3427
741	9816	3413
742	9828	3399
743	9839	3385
744	9850	3371
745	9860	3357
746	9872	3343
747	9881	3328
748	9892	3315
749	9903	3301
750	9912	3286
751	9924	3272
752	9935	3258
753	9947	3245
754	9958	3231
755	9969	3217
756	9978	3203
757	9990	3189
758	10003	3176
759	10013	3162
760	10025	3148
761	10036	3134
762	10046	3120
763	10059	3107
764	10072	3094
765	10084	3080
766	10093	3066
767	10104	3052
768	10113	3038
769	10124	3024
770	10135	3010
771	10145	2996
772	10157	2982
773	10168	2969
774	10178	2954
775	10188	2941
776	10200	2927
777	10209	2913
778	10221	2899
779	10232	2886
780	10242	2872
781	10253	2858
782	10263	2844
783	10274	2830
784	10285	2817
785	10296	2803
786	10305	2789
787	10319	2776
788	10332	2763
789	10346	2750
790	10359	2737
791	10376	2725
792	10390	2712
793	10405	2699
794	10420	2687
795	10435	2674
796	10450	2661
797	10464	2648
798	10479	2636
799	10494	2623
800	10504	2609
801	10516	2596
802	10527	2582
803	10537	2568
804	10547	2554
805	10557	2541
806	10567	2527
807	10579	2513
808	10597	2501
809	10611	2489
810	10627	2476
811	10641	2463
812	10654	2450
813	10668	2437
814	10686	2425
815	10702	2413
816	10717	2400
817	10732	2387
818	10743	2374
819	10753	2360
820	10763	2346
821	10774	2333
822	10784	2319
823	10798	2306
824	10809	2292
825	10818	2279
826	10829	2265
827	10839	2251
828	10849	2237
829	10859	2224
830	10871	2210
831	10880	2197
832	10894	2184
833	10907	2171
834	10922	2158
835	10936	2145
836	10949	2132
837	10964	2119
838	10979	2106
839	10994	2094
840	11011	2081
841	11026	2069
842	11040	2056
843	11057	2043
844	11070	2030
845	11080	2016
846	11091	2003
847	11102	1990
848	11116	1977
849	11126	1963
850	11136	1949
851	11146	1936
852	11156	1922
853	11168	1909
854	11177	1895
855	11189	1882
856	11202	1869
857	11212	1855
858	11224	1842
859	11238	1829
860	11252	1816
861	11267	1803
862	11282	1791
863	11295	1777
864	11311	1765
865	11329	1753
866	11342	1739
867	11357	1727
868	11372	1714
869	11385	1701
870	11397	1688
871	11407	1674
872	11420	1661
873	11431	1647
874	11440	1634
875	11450	1620
876	11461	1607
877	11471	1593
878	11482	1580
879	11491	1567
880	11501	1553
881	11512	1540
882	11522	1526
883	11535	1513
884	11546	1500
885	11555	1486
886	11566	1473
887	11578	1460
888	11587	1446
889	11598	1433
890	11610	1420
891	11619	1406
892	11632	1393
893	11646	1380
894	11661	1368
895	11676	1355
896	11690	1342
897	11703	1329
898	11718	1316
899	11732	1303
900	11750	1291
901	11765	1278
902	11780	1265
903	11795	1252
904	11807	1239
905	11816	1226
906	11827	1212
907	11837	1199
908	11849	1186
909	11860	1172
910	11870	1159
911	11880	1146
912	11891	1133
913	11900	1119
914	11911	1106
915	11921	1093
916	11930	1079
917	11941	1066
918	11951	1053
919	11963	1040
920	11974	1027
921	11985	1013
922	11995	1000
923	12008	987
924	12018	974
925	12028	961
926	12041	948
927	12052	935
928	12064	922
929	12075	908
930	12086	895
931	12095	882
932	12106	869
933	12117	856
934	12126	843
935	12141	830
936	12158	817
937	12172	804
938	12187	791
939	12202	778
940	12216	765
941	12230	753
942	12244	740
943	12259	727
944	12276	714
945	12290	701
946	12301	688
947	12310	675
948	12320	662
949	12332	649
950	12341	635
951	12353	622
952	12363	609
953	12375	596
954	12386	583
955	12399	570
956	12408	557
957	12419	544
958	12430	531
959	12440	518
960	12451	505
961	12462	492
962	12472	479
963	12486	466
964	12497	453
965	12507	440
966	12517	427
967	12529	414
968	12538	401
969	12548	388
970	12559	375
971	12569	362
972	12581	349
973	12594	336
974	12606	323
975	12636	310
976	12658	297
977	12680	285
978	12702	272
979	12719	259
980	12741	246
981	12760	233
982	12774	220
983	12787	207
984	12802	194
985	12812	181
986	12824	168
987	12833	155
988	12844	142
989	12862	129
990	12879	116
991	12895	103
992	12911	91
993	12927	78
994	12941	65
995	12951	52
996	12972	39
997	12983	26
998	13007	13
999	13020	0
